chain_id,x,y,z,n_residues,hexon_class
A,67.17792511013215,180.52602643171807,341.7486718061674,908,0
B,40.66510769230769,196.95179560439558,346.1393318681319,910,0
C,41.64374505494505,166.77234835164836,353.9790934065934,910,0
D,111.82756401766005,103.29421302428256,338.8945298013245,906,0
E,86.5418818380744,120.44574617067833,346.5426870897155,914,0
F,87.13856703296703,89.46784505494506,353.19620989010986,910,0
G,54.022999999999996,42.631720572057205,359.5742211221122,909,0
H,26.631526834611172,27.396086527929903,362.2639167579409,913,0
I,53.88898681318682,11.085314285714286,362.28730329670327,910,0
J,6.9901007667031765,88.67989266155531,363.75450164293534,913,0
K,7.820238461538462,119.84131978021978,358.839721978022,910,0
L,-19.788723684210524,104.71548793859648,358.9717894736842,912,0
N,1.0479375,164.7902951388889,295.2980243055556,288,1
O,-11.41356111111111,144.252,310.40988333333337,180,1
P,28.36476111111111,70.27349444444444,315.8517166666667,180,1
Q,14.56481512605042,83.06636974789916,365.3415882352941,119,1
R,86.41711827956989,125.08930107526882,345.3552688172043,93,1
S,20.14246511627907,55.271825581395355,368.91039534883726,86,1
T,73.37084090909092,58.60787500000001,367.4411022727273,88,1
